ID,CATEGORY,NAME/CODE,DESCRIPTION,PRICE,ENABLE VAT,VAT VALUE,WEIGHT,OPTIONS,ENABLE DISCOUNT,AVAILABILITY,PENDING,IMAGES
,Пицца,Пицца по-деревенски,"Тесто (лепешка пшеничная собственного приготовления), ветчина из индейки, сыр моцарелла, огурец маринованный, маслины, красный репчатый лук, соус барбекю, майонез оливковый, зелень (29 см)",497,0,21,500,,0,Unset,,\Пицца\Пиица по деревенски 500 г.JPG
,Пицца,Пицца Ассорти,"Тесто (лепешка пшеничная собственного приготовления), соус барбекю, соус цезарь, бекон копчено-вареный, курица копченая, перец болгарский, сыр моцарелла, зелень (29 см)",497,0,21,500,,0,Unset,,\Пицца\Пицца Ассорти 500 г.JPG
,Пицца,Пицца по-домашнему,"Тесто ( лепешка пшеничная собственного приготовления), ветчина из индейки, сыр моцарелла, огурец свежий, помидор, майонез оливковый, соус барбекю, зелень (29 см)тесто, ветчина. сыр Моцарелла, огурец св., помидор, майонез, с-с барбекю, зелень.
500 гр.",497,0,21,520,,0,Unset,,\Пицца\Пицца по-домашнему 500 г.JPG
,Пицца,Пицца Времена года,"Тесто (лепешка пшеничная собственного приготовления), соус Барбекю, ветчина из индейки, сыр моцарелла, шампиньоны жареные, маслины, томат свежий (29 см)",497,0,21,520,,0,Unset,,\Пицца\Пицца Времена года 500 г.JPG
,Пицца,Пицца с курицей,"Тесто (лепешка пшеничная собственного приготовления), соус барбекю, сметана, майонез, перец болгарский, курица копчёная, огурец маринованный, сыр моцарелла.(29 см)",497,0,21,503,,0,Unset,,\Пицца\Пицца с курицей 450 г.JPG
,Пицца,Пицца Баварская,"Тесто (лепешка пшеничная собственного приготовления), колбаса баварская полукопченая, пепперони сырокопченая, ветчина из индейки, шампиньоны жареные, перец болгарский, соус томатный, горчица дижонская, сыр моцарелла, зелень (29 см)",577,0,21,520,,0,Unset,,\Пицца\Пицца Баварская 550 г.JPG
,Пицца,Пицца трио сыров,"Тесто ( лепешка пшеничная собственного приготовления), соус барбекю, сыр пармезан, сыр моцарелла, сыр фета (29 см)",497,0,21,460,,0,Unset,,\Пицца\Пицца Трио сыров 500 г.JPG
,Пицца,Пицца Пеперони,"Тесто (лепешка пшеничная собственного приготовления), пепперони сырокопчёная, соус барбекю, сыр моцарелла (29 см)",497,0,21,440,,0,Unset,,\Пицца\Пицца Пепероне 450г.JPG
,Пицца,Фокачча с кунжутом,"Тесто (лепешка пшеничная), кунжут жареный, зелень, майонез оливковый, (29 см)",217,0,21,290,,0,Unset,,\Пицца\Фокачча с кунжутом 180 г.JPG
,Пицца,Фокачча с помидором,"Тесто (лепешка пшеничная собственного производства), азербайджанский томат, зелень, соус Цезарь, (29 см)Лепешка пшеничная, помидор, зелень, соус Цезарь.",211,0,21,330,"С моцарелло (100 г),119 |",0,Unset,,\Пицца\Фокачча с помидором 200 г.JPG
,Пицца,Пицца с ветчиной и сыром.,"Тесто (лепешка пшеничная собственного приготовления), соус Барбекю, сыр моцарелла, ветчина из индейки, зелень (29 см)",497,0,21,450,,0,Unset,,\Пицца\Пицца с ветчиной и сыром 450 г.JPG
,Пицца,Фокачча с сыром,"Тесто (лепешка пшеничная собственного производства), сыр Моцарелла, зелень, сырный соус (29 см)",264,0,21,330,,0,Unset,,\Пицца\Фокачча с сыром 200 г.JPG
,Пицца,Хачапури Много сыра,"Тесто (лепешка пшеничная), сыр Моцарелла, свежий чеснок, зелень, сырный соус (29 см)",387,0,21,410,,0,Unset,,\Пицца\Хачапури для Яндек 2 вар.jpg
,Пицца,Хлеб черный,"Хлеб черный / белый.
1 шт.",10,0,21,30,,0,Unset,,\Пицца\хлеб.jpg
,Холодные закуски,Мясное ассорти,"Сырокопченая колбаса, бекон копчено-вареный, филе курицы полукопчёное, буженина (собственного производства), сервелат полукопченый Черкашин, огурец свежий, зелень",494,0,21,200,"Уксус 9% (50 г),15 |  Капуста в маринаде (50 г),33 |  Хрен столовый (50 г),55 |  Сырный (50 г),55 |  Сметанно-чесночный 50 г,55 |  Томатно-острый (50 г),55 |  Барбекю (50 г),55 |  Сметана (50 г),55 |  Цезарь (50 г),55 |  Тонкацу (50 г),55 |  Болье (50 г),55 |  Тереяки ( 30 г),55 |  Соевый (50 г),55 |  Майонез (50 г),55 |  Кетчуп хайнц (50 г),55 |  Лук маринованый (50 г),55 |  Острый ширача (30 г),55 |  Горчица русская (50 г),55 |  Капуста в МАРИНАДЕ(100г),66 |  Гранатовый (50 г),80 | ",0,Unset,,\Холодные закуски\Мясное Ассорти 240г.JPG
,Холодные закуски,Фруктовая тарелка,"Яблоко, винoград, апельсин, киви",272,0,21,360,"Пудрой не посыпать,0 |",0,Unset,,\Холодные закуски\Фруктовая тарелка 450 г.JPG
,Холодные закуски,Овощное ассорти,"Огурцы свежие, азербайджанский томат, перец болгарский, зелень",229,0,21,190,"Уксус 9% (50 г),15 |  Капуста в маринаде (50 г),33 |  Хрен столовый (50 г),55 |  Сырный (50 г),55 |  Сметанно-чесночный 50 г,55 |  Томатно-острый (50 г),55 |  Барбекю (50 г),55 |  Сметана (50 г),55 |  Цезарь (50 г),55 |  Тонкацу (50 г),55 |  Болье (50 г),55 |  Тереяки ( 30 г),55 |  Соевый (50 г),55 |  Майонез (50 г),55 |  Кетчуп хайнц (50 г),55 |  Лук маринованый (50 г),55 |  Острый ширача (30 г),55 |  Горчица русская (50 г),55 |  Капуста в МАРИНАДЕ(100г),66 |  Гранатовый (50 г),80 | ",0,Unset,,\Холодные закуски\Овощное Ассорти 280 г.JPG
,Холодные закуски,"Сало крученое ""Шик""","Шпик свиной ( крученый), чеснок, соль, зелень. Рекомендуем намазать на блюдо Корочки Ильича и с борщом. Вкуснотища)",97,0,21,50,"Корочки ильча,167 |",0,Unset,,\Холодные закуски\Сало як сало 50 г.JPG
,Холодные закуски,Сырное ассорти,"Сыр Пармезан, сыр Фета, сыр Моцарелла, грецкий орех, винoград, медсыр Пармезан, сыр Фета, сыр Моцарелла, грецкий орех, виноград, мед.",387,0,21,210,,0,Unset,,\Холодные закуски\Сырное ассорти 200г.JPG
,Холодные закуски,Сельдь с гарниром,"Филе сельди слабосоленое, отварной картофель, лук репка маринованный, яйцо, майонез оливковый, зелень",229,0,21,185,,0,Unset,,\Холодные закуски\Сельдь с гарниром 160 г.JPG
,Холодные закуски,Рулетик с лососем,"Лосось слабосоленый, сыр Моцарелла, блины, майонез оливковый, чеснок, зелень, лимон, маслины",297,0,21,155,"Без чеснока,0 |  Лосось (20 г), в рулет,49 |",0,Unset,,\Холодные закуски\Рулетик с лососем 140гр.JPG
,Холодные закуски,Рыбное ассорти,"Лосось слабосолёный, масляная холодного копчения, филе сельди слабосолёное, лимон, маслина, зелень",397,0,21,145,,0,Unset,,\Холодные закуски\Рыбное Ассорти 150 г.JPG
,Холодные закуски,Сельдь под водочку,"Филе сельди слабосоленое, красный маринованный лук, зелень",237,0,21,150," Отварной картофель (100 г),50 |  Лук маринованый (50 г),55 |",0,Unset,,\Холодные закуски\Сельдь под водочку 150 г.JPG
,Холодные закуски,Русский разносол ,"Огурцы маринованные (маринуем сами), помидоры черри маринованные, капуста маринованная (маринуем сами)",279,,,300,,,,,\Холодные закуски\Русский разносол 300 г.JPG
,Салаты,Салат Цезарь с лососем,"Листья салата, томат черри, соус Цезарь, чесночные сухарики, лосось слабосолёный (собственного посола с морской солью), сыр Пармезан",391,0,21,240,"Без зелени,0|   Сыр пармезан (10 г),25|   Цезарь (50 г),55|   Лосось слабосоленый (50 г),117| ",,Unset,,\Салаты\Салат Цезарь с лососем 210г.JPG
,Салаты,Салат Цезарь с креветками,"Листья салата, томат черри, соус Цезарь, чесночные сухари, креветки тигровые, сыр Пармезан",497,0,21,240,"Без зелени, 0 |   Сыр пармезан (10 г), 25 |   Цезарь (50 г), 55 | ",0,Unset,,\Салаты\Салат Цезарь с криветкой.JPG
,Салаты,Салат Бостон,"Язык телячий, курица копченая (грудка), морковь, картофель, огурец маринованный, яйцо, чеснок, сыр пармезан, грецкий орех, зелень, майонез оливковый
230 гр.",339,0,21,255,"Без чеснока, 0 |  ",0,Unset,,\Салаты\Салат Бостон 250 г.JPG
,Салаты,Салат Осенний,"Идеален под шашлык. Маринованная капуста, фирменный рецепт, черри томат, болгарский перец, огурец, зелень",149,0,21,200,,0,Unset,,\Салаты\Салат Осенний 200гр.jpg
,Салаты,Салат Цезарь с курицей,"Листья салата, сухарики чесночные, филе свежеобжаренное куриной грудки, соус Цезарь, сыр Пармезан, томат черри, зелень",338,0,21,230,"Сыр пармезан (10 г), 25 |   Филе грудка (50 г), 53 |   Цезарь (50 г), 55 | ",0,Unset,,\Салаты\Салат Цезарь с курицей 230г.JPG
,Салаты,Салат Венеция,"Салат листовой, креветки тигровые, яйцо, перец болгарский, апельсин, лимон, маслина, зелень, майонез оливковый",497,0,21,241,,0,Unset,,\Салаты\С-т Венеция 220 гр (ЗАМЕНА ФОТОГРАФИИ).jpg
,Салаты,Салат Греческий,"Огурец свежий, томат азербайджанский, маслины, сыр фета, листья салата, перец болгарский, голландский красный лук, соус Греческий",247,0,21,242,"Без заправки, 0 | Без сыра, 0 | Без маслин, 0 | Сыр фета (40 г) в салат, 69 |  ",0,Unset,,\Салаты\Салат Греческий 270г.JPG
,Салаты,Салат Элегия,"Лосось слабосолёный, сыр фета, сыр пармезан, томат айзербайджанский, перец болгарский, салат, картофель, лук красный, сухарики, греческая заправка.",417,0,21,250,"Без сухарей, 0 | Без лука, 0 |  ",0,Unset,,\Салаты\Салат с лососем 240г.JPG
,Салаты,Салат Эби-Эби,"Свеже обжареные тигровые креветки подаем на подушке из свежих овощей и салатов: Перец болгарский, салат листовой, огурец свежий, томат свежий, лук красный, и слегка приправляем гранатовым соусом Наршираб.",497,0,21,250,,0,Unset,,\Салаты\Салат Эби Эби 260г.JPG
,Салаты,Салат Винтажный,"Филе куриной грудки свежеобжаренное и слегка ошпарено соусом Тонкацу собственного приготовления, подаем на подушке из свежих овощей и салатов: перец болгарский, салат листовой, салат пекинский, огурец свежий, айзербайджанский томат, лук красный",367,0,21,280,"Без лука, 0 |  ",0,Unset,,\Салаты\Салат Винтажный 300г.JPG
,Салаты,Салат из свежих овощей,"Огурец свежий, айзербайджанский томат, лук- репка красный, салат зеленый",203,0,21,240,"С маслом (10 г), 0 | С майонезом (30 г), 0 | Со сметаной (30 г), 0 | Без салатов, 0 | Без лука, 0 | Без заправки, 0 | ",0,Unset,,\Салаты\салат помидор огрурец  Доставка.jpg
,Салаты,Салат Вкусняшка,"Мраморная маринованная говядина, микс из листовых салатов, айзербайджанский томат, сухарики белые чесночные, сыр Пармезан, соус Болье (делаем сами)",369,0,21,250,"Сыр пармезан (10 г), 25 | Болье (50 г), 55 |  ",0,Unset,,\Салаты\Салат Вкусняшка 230г.JPG
,Салаты,Салат Охотничий,"Язык говяжий, буженина, филе курицы, салат листовой, черри-помидоры, шампиньоны жареные, огурец маринованный, соус Охотничий",365,0,21,227,"Без грибов, 0 | ",0,Unset,,\Салаты\Салат Охотничий 220 г.JPG
,Горячие закуски,Омлет Королевский,"Яйцо, ветчина из индейки, курица копченая, сливочное масло, молоко, томат свежий, лук жареный, сыр Моцарелла",472,0,21,170,"Рис с овощами (200 г), 109| Картофель домашний(180 г), 159| Картофель фри (100 г), 167| Картошка в фольге (200 г), 168| Фрикасе из овощей (150 г), 177| Картофель француз (200 г), 179| Овощи ПО-ВОСТОЧНОМУ(200г), 187| Картофель гриль (150 г), 197| Овощи гриль (150 г), 197| Драники ДЕРЕВЕНСКИЕ(250г), 243| Драники мюнхен (260г), 271|  Уксус 9% (50 г), 15| Капуста в маринаде (50 г), 33| Сметана (50 г), 55| Болье (50 г), 55| Цезарь (50 г), 55| Хрен столовый (50 г), 55| Сырный (50 г), 55| Сметанно-чесночный 50 г, 55| Томатно-острый (50 г), 55| Барбекю (50 г), 55| Тонкацу (50 г), 55| Соевый (50 г), 55| Майонез (50 г), 55| Кетчуп хайнц (50 г), 55| Лук маринованый (50 г), 55| Острый ширача (30 г), 55| Тереяки ( 30 г), 55| Горчица русская (50 г), 55| Капуста в МАРИНАДЕ(100г), 66| Гранатовый (50 г), 80| Без лука, 0|  ",0,Unset,,\Горячие закуски\Омлет Королевский 170 г.JPG
,Горячие закуски,Яичница из 3х яиц,Яйцо куриное (3 шт.),139,0,21,100,"С луком- репка (30 г), 32| С помидором (50 г), 44| С моцарелло (30 г), 49| С беконом (50 г), 53| Ветчина (50 г), 53|  ",0,Unset,,\Горячие закуски\Яичница из трех яиц 100 г.JPG
,Горячие закуски,Жульен куриный,"Курица отварная, шампиньоны свежие жареные, лук жареный, сливки, сыр Моцарелла, бульон куриный, майонез оливковый",217,0,21,120,"Без лука, 0| Без зелени, 0|  ",0,Unset,,\Горячие закуски\Жульен куриный 120г.JPG
,Горячие закуски,Язык с хреном,"Язык телячий, хрен столовый, зелень",287,0,21,126," Уксус 9% (50 г), 15|   Капуста в маринаде (50 г), 33|   Сметана (50 г), 55|   Болье (50 г), 55|   Цезарь (50 г), 55|   Хрен столовый (50 г), 55|   Сырный (50 г), 55|   Сметанно-чесночный 50 г, 55|   Томатно-острый (50 г), 55|   Барбекю (50 г), 55|   Тонкацу (50 г), 55|   Соевый (50 г), 55|   Майонез (50 г), 55|   Кетчуп хайнц (50 г), 55|   Лук маринованый (50 г), 55|   Острый ширача (30 г), 55|   Тереяки ( 30 г), 55|   Горчица русская (50 г), 55|   Капуста в МАРИНАДЕ(100г), 66|   Гранатовый (50 г), 80| Рис с овощами (200 г), 109|   Картофель домашний(180 г), 159|   Картофель фри (100 г), 167|   Картошка в фольге (200 г), 168|   Фрикасе из овощей (150 г), 177|   Картофель француз (200 г), 179|   Овощи ПО-ВОСТОЧНОМУ(200г), 187|   Картофель гриль (150 г), 197|   Овощи гриль (150 г), 197|   Драники ДЕРЕВЕНСКИЕ(250г), 243|   Драники мюнхен (260г), 271| ",0,Unset,,\Холодные закуски\Язык с хреном 125 г.JPG
,Супы,Суп-пюре Пармантье,Шляпки белых грибов обжареные на сливочном масле с отварной картошечкой и слегка тушеные в сливках измльченные и взбитые в пышный крем. Можно добовать дополнительно грибов. Подается с чесночными сухариками,297,0,21,320,"Сухарики к супу (30 г), 35 | Белыми грибами (20 г) в суп, 63 |  ",0,Unset,,\Суп\Суп Крем Пармантье 310гр .jpg
,Супы,Солянка сборная мясная,"Говядина мраморная, бульон на говяжьих обжареных косточках, язык говяжий, колбаса полукопчёная, ветчина из индейки, копчености, маринованный огурец,",299,0,21,310,"Без сметаны, 0 | Без зелени, 0 | Сухарики к супу (30 г), 35 | Сметана (50 г), 55 |  ",0,Unset,,\Суп\Солянка сборная мясная 300гр.jpg
,Супы,Бульон куриный с гренками,"Бульон куриный, курица отварная, яйцо, гренки, зелень",199,0,21,315,"Без зелени, 0 | Курица отварная (20 г) в суп, 33 | Сухарики к супу (30 г), 35 |  ",0,Unset,,\Суп\Бульон куриный с яйцом 300 гр.jpg
,Супы,Окрошка,"Ветчина из индейки, квас домашний, картофель, огурец, яйцо, сметана, зелень, лук зелёный",199,0,21,340,"Без хрена, 0 | Без горчицы, 0 | Без лука, 0 | Без сметаны, 0 |  ",0,Unset,,\Суп\окрошка.jpg
,Супы,Борщ с говядиной ,"Говядина мраморная отварная (много мяса), бульон на говяжьих косточках, картофель, капуста, морковь, лук, свекла, зелень, сметана",277,0,21,330,"Без сметаны, 0 | Без зелени, 0 | Говядина (20 г), 35 | Сухарики к супу (30 г), 35 | Сметана (50 г), 55 | Сало шик (50 г), 81 |  ",0,Unset,,\Суп\Борщ с говядиной 300гр.jpg
,Супы,Уха с расстегаем,"Бульон рыбный из лосося, филе лосося, филе масляной рыбы холодного копчения, картофель, лук, зелень, подается с расстегаем из филе лосося",294,0,21,380,"Без зелени, 0 | Сухарики к супу (30 г), 35 | Лосось филе (20 г), в уху, 49 | Растегай с лососем (50 г), 49 |  ",0,Unset,,\Суп\Уха с лососем и растегаем 320гр.jpg
,Супы,Сухарики к супу,"Чесночные сухарики из белого батона, чеснок, сливочное и растительное масло, собственного приготовления",35,0,21,30,,0,Unset,,\Суп\Сухарики к супу 50 г.JPG
,Блины,Блинчики с мясом,"Блины, мраморная говядина, шея нежирная, лук репчатый",197,0,21,150," Сметана (50 г),55 |  Барбекю (50 г),55 |  Томатно-острый (50 г),55 |",0,Unset,,\Блины\Блины с мясом 110 г.JPG
,Блины,Блинчики с ветчиной и сыром,"Блины, ветчина из индейки, сыр моцарелла, зелень",189,0,21,250,"Уксус 9% (50 г),15 |  Капуста в маринаде (50 г),33 |  Сметана (50 г),55 |  Сметанно-чесночный 50 г,55 |  Майонез (50 г),55 |  Соевый (50 г),55 |  Острый ширача (30 г),55 |  Томатно-острый (50 г),55 |  Сырный (50 г),55 |  Тонкацу (50 г),55 |  Барбекю (50 г),55 |  Кетчуп хайнц (50 г),55 |  Болье (50 г),55 |  Цезарь (50 г),55 |  Хрен столовый (50 г),55 |  Лук маринованый (50 г),55 |  Тереяки ( 30 г),55 |  Горчица русская (50 г),55 |  Капуста в МАРИНАДЕ(100г),66 |  Гранатовый (50 г),80 | ",0,Unset,,\Блины\Блинчики с ветчиной и сыром 250 г.JPG
,Блины,Блинчики с семгой,"Блины, лосось слабосолёный ( собственного посола с морской солью) лимон, зелень",309,0,21,173,,0,Unset,,\Блины\Блины с семгой доставка.jpg
,Блины,Блинчик к чаю,1 шт.,59,0,21,40,"Сметана (50 г),55 |  Сгущенка (50 г),55 |  Мед (50 г),57 |",0,Unset,,\Блины\Блинчик к чаю 35 г.JPG
,Блюда на углях мясные,Шашлык из курицы,"Филе бедра курицы, лук красный маринованный, соус барбекю",379,0,21,300,"Рис с овощами (200 г), 109 |   Картофель домашний(180 г), 159 |   Картофель фри (100 г), 167 |   Картошка в фольге (200 г), 168 |   Фрикасе из овощей (150 г), 177 |   Картофель француз (200 г), 179 |   Овощи ПО-ВОСТОЧНОМУ(200г), 187 |   Картофель гриль (150 г), 197 |   Овощи гриль (150 г), 197 |   Драники ДЕРЕВЕНСКИЕ(250г), 243 |   Драники мюнхен (260г), 271 |  Уксус 9% (50 г), 15 |   Капуста в маринаде (50 г), 33 |   Сметана (50 г), 55 |   Болье (50 г), 55 |   Томатно-острый (50 г), 55 |   Барбекю (50 г), 55 |   Хрен столовый (50 г), 55 |   Сырный (50 г), 55 |   Сметанно-чесночный 50 г, 55 |   Цезарь (50 г), 55 |   Тонкацу (50 г), 55 |   Соевый (50 г), 55 |   Майонез (50 г), 55 |   Кетчуп хайнц (50 г), 55 |   Лук маринованый (50 г), 55 |   Острый ширача (30 г), 55 |   Тереяки ( 30 г), 55 |   Горчица русская (50 г), 55 |   Капуста в МАРИНАДЕ(100г), 66 |   Гранатовый (50 г), 80 |  Уксус 9% (50 г), 15 |   Капуста в маринаде (50 г), 33 |   Сметана (50 г), 55 |   Болье (50 г), 55 |   Томатно-острый (50 г), 55 |   Барбекю (50 г), 55 |   Хрен столовый (50 г), 55 |   Сырный (50 г), 55 |   Сметанно-чесночный 50 г, 55 |   Цезарь (50 г), 55 |   Тонкацу (50 г), 55 |   Соевый (50 г), 55 |   Майонез (50 г), 55 |   Кетчуп хайнц (50 г), 55 |   Лук маринованый (50 г), 55 |   Острый ширача (30 г), 55 |   Тереяки ( 30 г), 55 |   Горчица русская (50 г), 55 |   Капуста в МАРИНАДЕ(100г), 66 |   Гранатовый (50 г), 80 |  ",0,Unset,,\Мясные\шашлы без соуса\Шашлык Индейка за 100гр.jpg
,Блюда на углях мясные,Бифштекс натурально-рубленный,"Фарш из мраморной говядины, яйца и лука-репка, обжаренный до золотистой корочки на гриле",349,0,21,250," Уксус 9% (50 г), 15 |   Капуста в маринаде (50 г), 33 |   Сметана (50 г), 55 |   Болье (50 г), 55 |   Цезарь (50 г), 55 |   Хрен столовый (50 г), 55 |   Сырный (50 г), 55 |   Сметанно-чесночный 50 г, 55 |   Томатно-острый (50 г), 55 |   Барбекю (50 г), 55 |   Тонкацу (50 г), 55 |   Соевый (50 г), 55 |   Майонез (50 г), 55 |   Кетчуп хайнц (50 г), 55 |   Лук маринованый (50 г), 55 |   Острый ширача (30 г), 55 |   Горчица русская (50 г), 55 |   Тереяки ( 30 г), 55 |   Капуста в МАРИНАДЕ(100г), 66 |   Гранатовый (50 г), 80 |  Рис с овощами (200 г), 109 |   Картофель домашний(180 г), 159 |   Картофель фри (100 г), 167 |   Картошка в фольге (200 г), 168 |   Фрикасе из овощей (150 г), 177 |   Картофель француз (200 г), 179 |   Овощи ПО-ВОСТОЧНОМУ(200г), 187 |   Картофель гриль (150 г), 197 |   Овощи гриль (150 г), 197 |   Драники ДЕРЕВЕНСКИЕ(250г), 243 |   Драники мюнхен (260г), 271 | ",0,Unset,,\Мясные\Бифштекс натурально-рубленый 150 г.JPG
